email_address,institute_sr_no,email_seq
vc@prsu.ac.in,158,5
vc@pssou.ac.in,159,5
vc@puchd.ac.in,160,5
vc@punjabiuniversity.ac.in,161,5
registrar@ranchiuniversity.ac.in,162,4
vc@ranchiuniversity.ac.in,162,5
registrar@raubikaner.org,163,4
vc@raubikaner.org,163,5
registrar@rbu.ac.in,164,4
vc@rbu.ac.in,164,5
registrar@rdunijbpin.org,165,4
vc@rdunijbpin.org,165,5
registrar@rgnul.ac.in,166,4
vc@rgnul.ac.in,166,5
registrar@rguhs.ac.in,167,4
vc@rguhs.ac.in,167,5
registrar@rgukt.in,168,4
vc@rgukt.in,168,5
registrar@rmlau.ac.in,169,4
vc@rmlau.ac.in,169,5
registrar@rtu.ac.in,170,4
vc@rtu.ac.in,170,5
registrar@ruhsraj.org,171,4
vc@ruhsraj.org,171,5
registrar@satavahana.ac.in,172,4
vc@satavahana.ac.in,172,5
registrar@saurashtrauniversity.edu,173,4
vc@saurashtrauniversity.edu,173,5
registrar@sbssugsp.ac.in,174,4
vc@sbssugsp.ac.in,174,5
registrar@sdau.edu.in,175,4
vc@sdau.edu.in,175,5
registrar@sgbau.ac.in,176,4
vc@sgbau.ac.in,176,5
registrar@skuastkashmir.ac.in,177,4
vc@skuastkashmir.ac.in,177,5
registrar@smvdu.net.in,178,4
vc@smvdu.net.in,178,5
registrar@sndt.ac.in,179,4
vc@sndt.ac.in,179,5
registrar@spmvv.ac.in,180,4
vc@spmvv.ac.in,180,5
registrar@spuvvn.edu,181,4
vc@spuvvn.edu,181,5
registrar@srtmun.org,182,4
vc@srtmun.org,182,5
registrar@ssus.ac.in,183,4
vc@ssus.ac.in,183,5
registrar@svvedicuniversity.ac.in,184,4
vc@svvedicuniversity.ac.in,184,5
registrar@tanuvas.ac.in,185,4
vc@tanuvas.ac.in,185,5
registrar@tmbu.org,186,4
vc@tmbu.org,186,5
registrar@tnau.ac.in,187,4
vc@tnau.ac.in,187,5
registrar@tumkuruniversity.ac.in,188,4
vc@tumkuruniversity.ac.in,188,5
registrar@uasd.edu,189,4
vc@uasd.edu,189,5
registrar@uau.ac.in,190,4
vc@uau.ac.in,190,5
registrar@ugb.ac.in,191,4
vc@ugb.ac.in,191,5
registrar@ugc.ac.in,192,4
vc@ugc.ac.in,192,5
registrar@ugcnetonline.in,193,4
vc@ugcnetonline.in,193,5
registrar@unigoa.ac.in,194,4
vc@unigoa.ac.in,194,5
registrar@unipune.ac.in,195,4
vc@unipune.ac.in,195,5
registrar@unishivaji.ac.in,196,4
vc@unishivaji.ac.in,196,5
registrar@unom.ac.in,197,4
vc@unom.ac.in,197,5
registrar@uoc.ac.in,198,4
vc@uoc.ac.in,198,5
registrar@uou.ac.in,199,4
vc@uou.ac.in,199,5
registrar@uprtou.ac.in,200,4
vc@uprtou.ac.in,200,5
registrar@upvetuniv.edu.in,201,4
vc@upvetuniv.edu.in,201,5
registrar@uuc.ac.in,202,4
vc@uuc.ac.in,202,5
registrar@vetbifg.ac.in,203,4
vc@vetbifg.ac.in,203,5
registrar@vidyasagar.ac.in,204,4
vc@vidyasagar.ac.in,204,5
registrar@vimsar.ac.in,205,4
vc@vimsar.ac.in,205,5
registrar@vmou.ac.in,206,4
vc@vmou.ac.in,206,5
registrar@vnsgu.ac.in,207,4
vc@vnsgu.ac.in,207,5
registrar@vskub.ac.in,208,4
vc@vskub.ac.in,208,5
registrar@vssut.ac.in,209,4
vc@vssut.ac.in,209,5
registrar@vtu.ac.in,210,4
vc@vtu.ac.in,210,5
registrar@yspuniversity.ac.in,211,4
vc@yspuniversity.ac.in,211,5
registrar@abvmuup.edu.in,212,4
vc@abvmuup.edu.in,212,5
registrar@ahuuk.ac.in,213,4
vc@ahuuk.ac.in,213,5
registrar@amruhp.ac.in,214,4
vc@amruhp.ac.in,214,5
registrar@amtedivyanguniversity.ac.in,215,4
vc@amtedivyanguniversity.ac.in,215,5
registrar@angrau.ac.in,216,4
vc@angrau.ac.in,216,5
registrar@apfu.ap.gov.in,217,4
vc@apfu.ap.gov.in,217,5
registrar@asu.ac.in,218,4
vc@asu.ac.in,218,5
registrar@awu.ac.in,219,4
vc@awu.ac.in,219,5
registrar@bankurauniv.ac.in,220,4
vc@bankurauniv.ac.in,220,5
registrar@base.ac.in,221,4
vc@base.ac.in,221,5
registrar@bbmku.ac.in,222,4
vc@bbmku.ac.in,222,5
registrar@bcu.ac.in,223,4
vc@bcu.ac.in,223,5
registrar@bgsbu.ac.in,224,4
vc@bgsbu.ac.in,224,5
registrar@biharsports.org,225,4
vc@biharsports.org,225,5
registrar@bmtu.ac.in,226,4
vc@bmtu.ac.in,226,5
registrar@brauss.in,227,4
vc@brauss.in,227,5
registrar@btu.ac.in,228,4
vc@btu.ac.in,228,5
registrar@buniv.edu.in,229,4
vc@buniv.edu.in,229,5
registrar@cblu.ac.in,230,4
vc@cblu.ac.in,230,5
registrar@clujammu.ac.in,231,4
vc@clujammu.ac.in,231,5
registrar@cottonuniversity.ac.in,232,4
vc@cottonuniversity.ac.in,232,5
registrar@data.gov.in,233,4
vc@data.gov.in,233,5
registrar@dbrau.ac.in,234,4
vc@dbrau.ac.in,234,5
registrar@dduniversity.ac.in,235,4
vc@dduniversity.ac.in,235,5
registrar@deb.ugc.ac.in,236,4
vc@deb.ugc.ac.in,236,5
registrar@dpsru.edu.in,237,4
vc@dpsru.edu.in,237,5
registrar@drntruhs.in,238,4
vc@drntruhs.in,238,5
registrar@drysrhu.ap.gov.in,239,4
vc@drysrhu.ap.gov.in,239,5
registrar@dseu.ac.in,240,4
vc@dseu.ac.in,240,5
registrar@dsmru.up.nic.in,241,4
vc@dsmru.up.nic.in,241,5
registrar@dsrrauexam.org,242,4
vc@dsrrauexam.org,242,5
registrar@duk.ac.in,243,4
vc@duk.ac.in,243,5
registrar@eprocure.gov.in,244,4
vc@eprocure.gov.in,244,5
registrar@fmuniversity.nic.in,245,4
vc@fmuniversity.nic.in,245,5
registrar@gbu.gujarat.gov.in,246,4
vc@gbu.gujarat.gov.in,246,5
registrar@gramodayachitrakoot.ac.in,247,4
vc@gramodayachitrakoot.ac.in,247,5
registrar@graupunjab.org,248,4
vc@graupunjab.org,248,5
registrar@gug.ac.in,249,4
vc@gug.ac.in,249,5
registrar@hbtu.ac.in,250,4
vc@hbtu.ac.in,250,5
registrar@hju.ac.in,251,4
vc@hju.ac.in,251,5
registrar@hpuniv.ac.in,252,4
vc@hpuniv.ac.in,252,5
registrar@igkv.ac.in,253,4
vc@igkv.ac.in,253,5
registrar@india.gov.in,254,4
vc@india.gov.in,254,5
registrar@ioe.ugc.ac.in,255,4
vc@ioe.ugc.ac.in,255,5
registrar@jbu.ac.in,256,4
vc@jbu.ac.in,256,5
registrar@jharkhanduniversities.nic.in,257,4
vc@jharkhanduniversities.nic.in,257,5
registrar@jhkaushalvedskill.university,258,4
vc@jhkaushalvedskill.university,258,5
registrar@jntukucev.ac.in,259,4
vc@jntukucev.ac.in,259,5
registrar@jpv.ac.in,260,4
vc@jpv.ac.in,260,5
registrar@kalahandiuniversity.ac.in,261,4
vc@kalahandiuniversity.ac.in,261,5
registrar@kaushalyaskilluniversity.ac.in,262,4
vc@kaushalyaskilluniversity.ac.in,262,5
registrar@kmclu.ac.in,263,4
vc@kmclu.ac.in,263,5
registrar@knruhs.telangana.gov.in,264,4
vc@knruhs.telangana.gov.in,264,5
registrar@kokrajharuniversity.ac.in,265,4
vc@kokrajharuniversity.ac.in,265,5
registrar@kslu.karnataka.gov.in,266,4
vc@kslu.karnataka.gov.in,266,5
registrar@ksoumysuru.ac.in,267,4
vc@ksoumysuru.ac.in,267,5
registrar@ksrdpru.ac.in,268,4
vc@ksrdpru.ac.in,268,5
registrar@kttv.edu.in,269,4
vc@kttv.edu.in,269,5
registrar@ktu.edu.in,270,4
vc@ktu.edu.in,270,5
registrar@kuk.karnataka.gov.in,271,4
vc@kuk.karnataka.gov.in,271,5
registrar@kuu.ac.in,272,4
vc@kuu.ac.in,272,5
registrar@litu.edu.in,273,4
vc@litu.edu.in,273,5
registrar@lnmu.ac.in,274,4
vc@lnmu.ac.in,274,5
registrar@madhabdevuniversity.ac.in,275,4
vc@madhabdevuniversity.ac.in,275,5
registrar@mbbuniversity.ac.in,276,4
vc@mbbuniversity.ac.in,276,5
registrar@mbspsu.ac.in,277,4
vc@mbspsu.ac.in,277,5
registrar@mcbu.ac.in,278,4
vc@mcbu.ac.in,278,5
registrar@mcu.karnataka.gov.in,279,4
vc@mcu.karnataka.gov.in,279,5
registrar@mgsubikaner.ac.in,280,4
vc@mgsubikaner.ac.in,280,5
registrar@mguvv.ac.in,281,4
vc@mguvv.ac.in,281,5
registrar@mkuniversity.ac.in,282,4
vc@mkuniversity.ac.in,282,5
registrar@mlu.ac.in,283,4
vc@mlu.ac.in,283,5
registrar@mnlumumbai.edu.in,284,4
vc@mnlumumbai.edu.in,284,5
registrar@mpmsu.edu.in,285,4
vc@mpmsu.edu.in,285,5
registrar@mpublp.ac.in,286,4
vc@mpublp.ac.in,286,5
registrar@msbrijuniversity.ac.in,287,4
vc@msbrijuniversity.ac.in,287,5
registrar@msdsu.ac.in,288,4
vc@msdsu.ac.in,288,5
registrar@mssu.ac.in,289,4
vc@mssu.ac.in,289,5
registrar@mvvu.ac.in,290,4
vc@mvvu.ac.in,290,5
registrar@nagarjunauniversity.ac.in,291,4
vc@nagarjunauniversity.ac.in,291,5
registrar@nagpuruniversity.ac.in,292,4
vc@nagpuruniversity.ac.in,292,5
registrar@nlc.ac.in,293,4
vc@nlc.ac.in,293,5
registrar@nusrlranchi.ac.in,294,4
vc@nusrlranchi.ac.in,294,5
registrar@odiauniversity.ac.in,295,4
vc@odiauniversity.ac.in,295,5
registrar@pgportal.gov.in,296,4
vc@pgportal.gov.in,296,5
registrar@prsuniv.ac.in,297,4
vc@prsuniv.ac.in,297,5
registrar@psou.ac.in,298,4
vc@psou.ac.in,298,5
registrar@ptsnsuniversity.ac.in,299,4
vc@ptsnsuniversity.ac.in,299,5
registrar@ptu.ac.in,300,4
vc@ptu.ac.in,300,5
registrar@rajendrauniversity.ac.in,301,4
vc@rajendrauniversity.ac.in,301,5
registrar@rajuvas.ac.in,302,4
vc@rajuvas.ac.in,302,5
registrar@rajuvas.org,303,4
vc@rajuvas.org,303,5
registrar@ralvv.mponline.gov.in,304,4
vc@ralvv.mponline.gov.in,304,5
registrar@ravenshawuniversity.ac.in,305,4
vc@ravenshawuniversity.ac.in,305,5
registrar@rdwu.ac.in,306,4
vc@rdwu.ac.in,306,5
registrar@rmpssu.ac.in,307,4
vc@rmpssu.ac.in,307,5
registrar@rtionline.gov.in,308,4
vc@rtionline.gov.in,308,5
registrar@sbssu.ac.in,309,4
vc@sbssu.ac.in,309,5
registrar@sggu.ac.in,310,4
vc@sggu.ac.in,310,5
registrar@sgsu.gujarat.gov.in,311,4
vc@sgsu.gujarat.gov.in,311,5
registrar@shekhauni.ac.in,312,4
vc@shekhauni.ac.in,312,5
registrar@sibsagaruniversity.ac.in,313,4
vc@sibsagaruniversity.ac.in,313,5
registrar@sknau.ac.in,314,4
vc@sknau.ac.in,314,5
registrar@sssu.ac.in,315,4
vc@sssu.ac.in,315,5
registrar@svimstpt.ap.nic.in,316,4
vc@svimstpt.ap.nic.in,316,5
registrar@svuniversity.edu.in,317,4
vc@svuniversity.edu.in,317,5
registrar@tnjjmfau.in,318,4
vc@tnjjmfau.in,318,5
registrar@tnnlu.ac.in,319,4
vc@tnnlu.ac.in,319,5
registrar@uahs.edu.in,320,4
vc@uahs.edu.in,320,5
registrar@uamp.ugc.ac.in,321,4
vc@uamp.ugc.ac.in,321,5
registrar@uasmandya.co.in,322,4
vc@uasmandya.co.in,322,5
registrar@ugchindi.ugc.ac.in,323,4
vc@ugchindi.ugc.ac.in,323,5
registrar@universitysolutions.in,324,4
vc@universitysolutions.in,324,5
registrar@uol.ac.in,325,4
vc@uol.ac.in,325,5
registrar@uvce.ac.in,326,4
vc@uvce.ac.in,326,5
registrar@vksu.ac.in,327,4
vc@vksu.ac.in,327,5
registrar@vsu.ac.in,328,4
vc@vsu.ac.in,328,5
registrar@vsuraj.ac.in,329,4
vc@vsuraj.ac.in,329,5
registrar@waranauniversity.org,330,4
vc@waranauniversity.org,330,5
registrar@wbuhs.ac.in,331,4
vc@wbuhs.ac.in,331,5
registrar@alagappauniversity.ac.in,332,4
vc@alagappauniversity.ac.in,332,5
registrar@alujaipur.ac.in,333,4
vc@alujaipur.ac.in,333,5
registrar@andhrauniversity.edu.in,334,4
vc@andhrauniversity.edu.in,334,5
registrar@aujodhpur.ac.in,335,4
vc@aujodhpur.ac.in,335,5
registrar@basu.org.in,336,4
vc@basu.org.in,336,5
registrar@bdu.ac.in,337,4
vc@bdu.ac.in,337,5
registrar@bgku.ac.in,338,4
vc@bgku.ac.in,338,5
registrar@bilaspuruniversity.ac.in,339,4
vc@bilaspuruniversity.ac.in,339,5
registrar@biswabanglabiswabidyalay.org,340,4
vc@biswabanglabiswabidyalay.org,340,5
registrar@bknmu.edu.in,341,4
vc@bknmu.edu.in,341,5
registrar@bongaigaoncollege.ac.in,342,4
vc@bongaigaoncollege.ac.in,342,5
registrar@bput.ac.in,343,4
vc@bput.ac.in,343,5
registrar@braou.ac.in,344,4
vc@braou.ac.in,344,5
registrar@buodisha.edu.in,345,4
vc@buodisha.edu.in,345,5
registrar@buruniv.ac.in,346,4
vc@buruniv.ac.in,346,5
registrar@ccsuniversity.ac.in,347,4
vc@ccsuniversity.ac.in,347,5
registrar@cet.edu.in,348,4
vc@cet.edu.in,348,5
registrar@coeptech.ac.in,349,4
vc@coeptech.ac.in,349,5
registrar@cugujarat.ac.in,350,4
vc@cugujarat.ac.in,350,5
registrar@cuklap.ac.in,351,4
vc@cuklap.ac.in,351,5
registrar@cusat.ac.in,352,4
vc@cusat.ac.in,352,5
registrar@cusrinagar.edu.in,353,4
vc@cusrinagar.edu.in,353,5
registrar@ddu.ac.in,354,4
vc@ddu.ac.in,354,5
registrar@drrmlims.ac.in,355,4
vc@drrmlims.ac.in,355,5
registrar@education.gov.in,356,4
vc@education.gov.in,356,5
registrar@gbu.ac.in,357,4
vc@gbu.ac.in,357,5
registrar@ggtu.ac.in,358,4
vc@ggtu.ac.in,358,5
registrar@gndu.ac.in,359,4
vc@gndu.ac.in,359,5
registrar@gujaratuniversity.ac.in,360,4
vc@gujaratuniversity.ac.in,360,5
registrar@himtu.ac.in,361,4
vc@himtu.ac.in,361,5
registrar@hindiuniv.ac.in,362,4
vc@hindiuniv.ac.in,362,5
registrar@hpnlu.ac.in,363,4
vc@hpnlu.ac.in,363,5
registrar@igu.ac.in,364,4
vc@igu.ac.in,364,5
registrar@iiit-bh.ac.in,365,4
vc@iiit-bh.ac.in,365,5
registrar@iiitnr.ac.in,366,4
vc@iiitnr.ac.in,366,5
registrar@instagram.com,367,4
vc@instagram.com,367,5
registrar@janapadauniversity.ac.in,368,4
vc@janapadauniversity.ac.in,368,5
registrar@jcboseust.ac.in,369,4
vc@jcboseust.ac.in,369,5
registrar@kamdhenuuni.edu.in,370,4
vc@kamdhenuuni.edu.in,370,5
registrar@kanyashreeuniversity.in,371,4
vc@kanyashreeuniversity.in,371,5
registrar@ksus.ac.in,372,4
vc@ksus.ac.in,372,5
registrar@kvafsu.edu.in,373,4
vc@kvafsu.edu.in,373,5
registrar@kvasu.ac.in,374,4
vc@kvasu.ac.in,374,5
registrar@luvas.edu.in,375,4
vc@luvas.edu.in,375,5
registrar@mbm.ac.in,376,4
vc@mbm.ac.in,376,5
registrar@mdurohtak.ac.in,377,4
vc@mdurohtak.ac.in,377,5
registrar@mguwb.org.in,378,4
vc@mguwb.org.in,378,5
registrar@mhu.ac.in,379,4
vc@mhu.ac.in,379,5
registrar@mjpru.ac.in,380,4
vc@mjpru.ac.in,380,5
registrar@mkbhavuni.edu.in,381,4
vc@mkbhavuni.edu.in,381,5
registrar@mnlua.ac.in,382,4
vc@mnlua.ac.in,382,5
registrar@motherteresawomenuniv.ac.in,383,4
vc@motherteresawomenuniv.ac.in,383,5
registrar@mpdnlu.ac.in,384,4
vc@mpdnlu.ac.in,384,5
registrar@msubaroda.ac.in,385,4
vc@msubaroda.ac.in,385,5
registrar@msuniv.ac.in,386,4
vc@msuniv.ac.in,386,5
registrar@mungeruniversity.ac.in,387,4
vc@mungeruniversity.ac.in,387,5
registrar@muoc.ac.in,388,4
vc@muoc.ac.in,388,5
registrar@mvsu.ac.in,389,4
vc@mvsu.ac.in,389,5
registrar@nduat.org,390,4
vc@nduat.org,390,5
registrar@nlumeg.ac.in,391,4
vc@nlumeg.ac.in,391,5
registrar@nlunagpur.ac.in,392,4
vc@nlunagpur.ac.in,392,5
registrar@nlutripura.ac.in,393,4
vc@nlutripura.ac.in,393,5
registrar@nowgongcollege.edu.in,394,4
vc@nowgongcollege.edu.in,394,5
registrar@nsut.ac.in,395,4
vc@nsut.ac.in,395,5
registrar@osmania.ac.in,396,4
vc@osmania.ac.in,396,5
registrar@osou.ac.in,397,4
vc@osou.ac.in,397,5
registrar@oucwkoti.ac.in,398,4
vc@oucwkoti.ac.in,398,5
registrar@ouhs.ac.in,399,4
vc@ouhs.ac.in,399,5
registrar@pau.edu,400,4
vc@pau.edu,400,5
registrar@ptuniv.edu.in,401,4
vc@ptuniv.edu.in,401,5
registrar@purneauniversity.ac.in,402,4
vc@purneauniversity.ac.in,402,5
registrar@rayalaseemauniversity.ac.in,403,4
vc@rayalaseemauniversity.ac.in,403,5
registrar@rgpv.ac.in,404,4
vc@rgpv.ac.in,404,5
registrar@rrbmuniv.ac.in,405,4
vc@rrbmuniv.ac.in,405,5
registrar@rtuassam.ac.in,406,4
vc@rtuassam.ac.in,406,5
registrar@sanskritcollegeanduniversity.org.in,407,4
vc@sanskritcollegeanduniversity.org.in,407,5
registrar@sggcg.in,408,4
vc@sggcg.in,408,5
registrar@sportsuniup.com,409,4
vc@sportsuniup.com,409,5
registrar@suniv.ac.in,410,4
vc@suniv.ac.in,410,5
registrar@suoh.ac.in,411,4
vc@suoh.ac.in,411,5
registrar@svvu.edu.in,412,4
vc@svvu.edu.in,412,5
registrar@tamiluniversity.ac.in,413,4
vc@tamiluniversity.ac.in,413,5
registrar@tndalu.ac.in,414,4
vc@tndalu.ac.in,414,5
registrar@tnmgrmu.ac.in,415,4
vc@tnmgrmu.ac.in,415,5
registrar@tnou.ac.in,416,4
vc@tnou.ac.in,416,5
registrar@tnpesu.org,417,4
vc@tnpesu.org,417,5
registrar@tsvu.nic.in,418,4
vc@tsvu.nic.in,418,5
registrar@tvu.edu.in,419,4
vc@tvu.edu.in,419,5
registrar@ubkv.ac.in,420,4
vc@ubkv.ac.in,420,5
registrar@unikbp.ac.in,421,4
vc@unikbp.ac.in,421,5
registrar@uni-mysore.ac.in,422,4
vc@uni-mysore.ac.in,422,5
registrar@uok.ac.in,423,4
vc@uok.ac.in,423,5
registrar@uok.edu.in,424,4
vc@uok.edu.in,424,5
registrar@upums.ac.in,425,4
vc@upums.ac.in,425,5
registrar@usvv.ac.in,426,4
vc@usvv.ac.in,426,5
registrar@uuhf.ac.in,427,4
vc@uuhf.ac.in,427,5
registrar@vikramdevuniversity.ac.in,428,4
vc@vikramdevuniversity.ac.in,428,5
registrar@vnmkv.ac.in,429,4
vc@vnmkv.ac.in,429,5
registrar@wbnsou.ac.in,430,4
vc@wbnsou.ac.in,430,5
registrar@ycmou.ac.in,431,4
vc@ycmou.ac.in,431,5
registrar@ysrafu.ac.in,432,4
vc@ysrafu.ac.in,432,5
registrar@yisu.in,433,4
vc@yisu.in,433,5
registrar@yvu.edu.in,434,4
vc@yvu.edu.in,434,5
registrar@bvuniversity.edu.in,435,4
vc@bvuniversity.edu.in,435,5
registrar@jvbi.ac.in,436,4
vc@jvbi.ac.in,436,5
registrar@sliet.ac.in,437,4
vc@sliet.ac.in,437,5
registrar@amrita.edu,438,4
vc@amrita.edu,438,5
registrar@banasthali.org,439,4
vc@banasthali.org,439,5
registrar@bitmesra.ac.in,440,4
vc@bitmesra.ac.in,440,5
registrar@bsauniv.ac.in,441,4
vc@bsauniv.ac.in,441,5
registrar@christuniversity.in,442,4
vc@christuniversity.in,442,5
registrar@cife.edu.in,443,4
vc@cife.edu.in,443,5
registrar@cihts.ac.in,444,4
vc@cihts.ac.in,444,5
registrar@dmimsu.edu.in,445,4
vc@dmimsu.edu.in,445,5
registrar@dpu.edu.in,446,4
vc@dpu.edu.in,446,5
registrar@dypatil.ac.in,447,4
vc@dypatil.ac.in,447,5
registrar@gipe.ac.in,448,4
vc@gipe.ac.in,448,5
registrar@gitam.edu,449,4
vc@gitam.edu,449,5
registrar@gkv.ac.in,450,4
vc@gkv.ac.in,450,5
registrar@gujaratvidyapith.org,451,4
vc@gujaratvidyapith.org,451,5
registrar@hbni.ac.in,452,4
vc@hbni.ac.in,452,5
registrar@iacs.res.in,453,4
vc@iacs.res.in,453,5
registrar@iari.res.in,454,4
vc@iari.res.in,454,5
registrar@iaseuniversity.org.in,455,4
vc@iaseuniversity.org.in,455,5
registrar@icfre.org,456,4
vc@icfre.org,456,5
registrar@ifheindia.org,457,4
vc@ifheindia.org,457,5
registrar@igidr.ac.in,458,4
vc@igidr.ac.in,458,5
registrar@iift.edu,459,4
vc@iift.edu,459,5
registrar@iiit.ac.in,460,4
vc@iiit.ac.in,460,5
registrar@iiitb.ac.in,461,4
vc@iiitb.ac.in,461,5
registrar@iist.ac.in,462,4
vc@iist.ac.in,462,5
registrar@ivri.nic.in,463,4
